PartyCode,DateTime,Cluster,record_count
51420,197905,3,6
51420,197905,4,13
51420,197905,5,16
51420,197905,6,5
51420,197905,7,27
51420,198306,0,24
51420,198306,1,18
51420,198306,2,26
51420,198306,3,11
51420,198306,4,14
51420,198306,5,29
51420,198306,6,11
51420,198306,7,37
51420,198706,0,36
51420,198706,1,6
51420,198706,2,38
51420,198706,3,23
51420,198706,4,19
51420,198706,5,40
51420,198706,6,15
51420,198706,7,49
51421,199204,0,56
51421,199204,1,38
51421,199204,2,15
51421,199204,3,44
51421,199204,4,45
51421,199204,5,29
51421,199204,6,20
51421,199204,7,64
51421,199705,0,37
51421,199705,1,32
51421,199705,2,32
51421,199705,3,53
51421,199705,4,37
51421,199705,5,18
51421,199705,6,15
51421,199705,7,52
51421,200106,0,41
51421,200106,1,24
51421,200106,2,45
51421,200106,3,58
51421,200106,4,51
51421,200106,5,46
51421,200106,6,22
51421,200106,7,88
51421,200505,0,44
51421,200505,1,9
51421,200505,2,39
51421,200505,3,29
51421,200505,4,16
51421,200505,5,48
51421,200505,6,25
51421,200505,7,60
51421,201505,0,68
51421,201505,1,54
51421,201505,2,60
51421,201505,3,81
51421,201505,4,41
51421,201505,5,16
51421,201505,6,28
51421,201505,7,95
51421,201706,0,37
51421,201706,1,30
51421,201706,2,41
51421,201706,3,52
51421,201706,4,24
51421,201706,5,28
51421,201706,6,15
51421,201706,7,58
51421,201912,0,64
51421,201912,1,20
51421,201912,2,43
51421,201912,3,61
51421,201912,4,24
51421,201912,5,51
51421,201912,6,21
51421,201912,7,66
51430,201912,0,4
51430,201912,1,13
51430,201912,2,35
51430,201912,3,7
51430,201912,4,45
51430,201912,5,18
51430,201912,6,17
51430,201912,7,28
51620,196410,0,33
51620,196410,1,31
51620,196410,2,16
51620,196410,3,12
51620,196410,4,18
51620,196410,5,6
51620,196410,6,9
51620,196410,7,17
51620,196603,0,5
51620,196603,1,23
51620,196603,2,4
51620,196603,3,12
51620,196603,4,13
51620,196603,5,9
51620,196603,6,9
51620,196603,7,18
51620,197006,0,26
51620,197006,1,20
51620,197006,2,20
51620,197006,3,16
51620,197006,4,10
51620,197006,5,28
51620,197006,6,17
51620,197006,7,44
51620,197402,0,42
51620,197402,1,20
51620,197402,2,17
51620,197402,3,20
51620,197402,4,23
51620,197402,5,26
51620,197402,6,21
51620,197402,7,21
51620,197410,0,20
51620,197410,1,12
51620,197410,2,27
51620,197410,3,30
51620,197410,4,16
51620,197410,5,36
51620,197410,6,15
51620,197410,7,66
51620,197905,0,7
51620,197905,1,8
51620,197905,2,26
51620,197905,3,5
51620,197905,4,10
51620,197905,5,39
51620,197905,6,11
51620,197905,7,39
51620,198306,0,44
51620,198306,1,29
51620,198306,2,24
51620,198306,3,15
51620,198306,4,12
51620,198306,5,24
51620,198306,6,22
51620,198306,7,36
51620,198706,0,97
51620,198706,1,35
51620,198706,2,35
51620,198706,3,30
51620,198706,4,12
51620,198706,5,31
51620,198706,6,24
51620,198706,7,39
51620,199204,0,132
51620,199204,1,75
51620,199204,2,47
51620,199204,3,66
51620,199204,4,58
51620,199204,5,28
51620,199204,6,43
51620,199204,7,78
51620,199705,0,101
51620,199705,1,53
51620,199705,2,47
51620,199705,3,59
51620,199705,4,13
51620,199705,5,28
51620,199705,6,37
51620,199705,7,60
51620,200106,0,27
51620,200106,1,12
51620,200106,2,27
51620,200106,3,22
51620,200106,4,12
51620,200106,5,44
51620,200106,6,16
51620,200106,7,66
51620,200505,0,18
51620,200505,1,10
51620,200505,2,20
51620,200505,3,20
51620,200505,4,2
51620,200505,5,22
51620,200505,6,11
51620,200505,7,33
51620,201505,0,123
51620,201505,1,41
51620,201505,2,39
51620,201505,3,56
51620,201505,4,18
51620,201505,5,30
51620,201505,6,19
51620,201505,7,58
51620,201706,0,57
51620,201706,1,81
51620,201706,2,33
51620,201706,3,57
51620,201706,4,26
51620,201706,5,32
51620,201706,6,40
51620,201706,7,71
51620,201912,0,69
51620,201912,1,48
51620,201912,2,35
51620,201912,3,46
51620,201912,4,9
51620,201912,5,7
51620,201912,6,31
51620,201912,7,56
51621,201505,0,14
51621,201505,1,10
51621,201505,2,15
51621,201505,3,7
51621,201505,4,13
51621,201505,5,22
51621,201505,6,9
51621,201505,7,12
51901,201505,0,23
51901,201505,1,31
51901,201505,2,31
51901,201505,3,59
51901,201505,4,25
51901,201505,5,16
51901,201505,6,22
51901,201505,7,37
51901,201706,0,11
51901,201706,1,5
51901,201706,2,23
51901,201706,3,7
51901,201706,4,5
51901,201706,5,30
51901,201706,6,4
51901,201706,7,15
51901,201912,0,50
51901,201912,1,14
51901,201912,2,31
51901,201912,3,42
51901,201912,4,32
51901,201912,5,43
51901,201912,6,12
51901,201912,7,29
51902,199705,0,29
51902,199705,1,15
51902,199705,2,25
51902,199705,3,11
51902,199705,4,32
51902,199705,5,18
51902,199705,6,26
51902,199705,7,26
51902,200106,0,16
51902,200106,1,11
51902,200106,2,22
51902,200106,3,16
51902,200106,4,35
51902,200106,5,9
51902,200106,6,14
51902,200106,7,25
51902,201505,0,66
51902,201505,1,50
51902,201505,2,17
51902,201505,3,10
51902,201505,4,26
51902,201505,5,10
51902,201505,6,9
51902,201505,7,36
51902,201706,0,62
51902,201706,1,13
51902,201706,2,61
51902,201706,3,9
51902,201706,4,46
51902,201706,5,37
51902,201706,6,10
51902,201706,7,44
51902,201912,0,49
51902,201912,1,13
51902,201912,2,68
51902,201912,3,7
51902,201912,4,18
51902,201912,5,43
51902,201912,6,12
51902,201912,7,52
51903,201505,0,10
51903,201505,1,6
51903,201505,3,3
51903,201505,4,6
51903,201505,5,2
51903,201505,6,4
51903,201505,7,5
51903,201706,0,6
51903,201706,1,19
51903,201706,2,21
51903,201706,3,3
51903,201706,4,14
51903,201706,5,10
51903,201706,6,13
51903,201706,7,8
51903,201912,0,19
51903,201912,1,23
51903,201912,2,26
51903,201912,3,10
51903,201912,4,21
51903,201912,5,12
51903,201912,6,14
51903,201912,7,21
51951,200106,0,17
51951,200106,1,7
51951,200106,2,59
51951,200106,3,14
51951,200106,4,16
51951,200106,5,22
51951,200106,6,20
51951,200106,7,51
51951,201505,0,82
51951,201505,1,6
51951,201505,2,74
51951,201505,3,29
51951,201505,4,14
51951,201505,5,94
51951,201505,6,9
51951,201505,7,44
51951,201706,0,79
51951,201706,1,6
51951,201706,2,79
51951,201706,3,28
51951,201706,4,6
51951,201706,5,85
51951,201706,6,12
51951,201706,7,40
55110,200605,1,11
55110,200605,2,58
55110,200605,3,16
55110,200605,4,61
55110,200605,5,53
55110,200605,6,20
55110,200605,7,20
55110,201105,0,7
55110,201105,1,23
55110,201105,2,65
55110,201105,3,36
55110,201105,4,80
55110,201105,5,77
55110,201105,6,28
55110,201105,7,30
55110,201605,0,13
55110,201605,1,30
55110,201605,2,92
55110,201605,3,44
55110,201605,4,95
55110,201605,5,71
55110,201605,6,25
55110,201605,7,46
55321,200605,0,24
55321,200605,1,34
55321,200605,2,28
55321,200605,3,59
55321,200605,4,48
